1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],5. East longitude [°],6. Radius [km],7. Radius [m],8. Apparent diameter [km],9. Transient cavity diameter [km],10. Transient cavity diameter [km],11. Floor diameter [km],12. Measured rim to floor depth [km],13. Rim to floor depth [km],14. Apparent depth [km],15. Transient cavity depth [km] ,16. Interior volume [km^3],17. Rim height [km],18. Rim flank width [km],19. Measured height of central peak [km],20. Height of central peak [km],21. Diameter of central peak [km],22. Basal area of central peak [km^2],23. Maximum diameter of ejecta blocks [km],24. Maximum diameter of ejecta blocks [km] ,25. Thickness of ejecta in the distance equal to one radius [m] ,26. Thickness of ejecta in the distance equal to two radii [m],27. Thickness of ejecta in the distance equal to three radii [m],28. Thickness of ejecta in the distance equal to four radii [m],29. Thickness of ejecta in the distance equal to five radii [m],"30. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","31. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","32. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","33. Thickness of ejecta in the distance of 10,000 m outside the rim [m]",34. Radial distance of continuous ejecta [km],35. Radial distance of continuous ejecta [km],36. Radius of ejecta blanket thicker than 10 m [km],37. Radius of ejecta blanket thicker than 10 m [km] minimum,38. Radius of ejecta blanket thicker than 10 m [km] best estimate,39. Radius of ejecta blanket thicker than 10 m [km] maximum,40. Radius of radar-bright halo [km],41. Measured radius of radar-bright halo [km],42. Radius of radar-dark halo [km],43. Measured radius of radar-dark halo [km],44. Depth of excavation [km],45. Depth of excavation [km],46. Depth of melting [km],47. Depth of melting [km],48. Melt volume [km^3] ,"49. Melt volume, 45° on basalt [km^3] ","50. Melt volume, 45° on anorthosite [km^3] ",51. Age,52. Age class,53. Remarks,54. Age - source ,55. Age - other sources,56. Basin age group,"57. Citation for first mention, citation for nomenclature from ",58. Approval,59. Peak lithology,60. Ol [vol.-%],61. Opx [vol.-%],62. Cpx [vol.-%],63. Plg [vol.-%],64. Mafics/Plg,65. Opx/Cpx,66. Plg [wt.-%],67. Ol [wt.-%],68. Opx [wt.-%],69. Cpx [wt.-%],70. FeO [wt.-%],71. Peak lithologies,72. Setting,73. Average CF [?m],74. Average OMAT,75. Average FeO [wt.-%],76. OMAT range,77. Plg abundance class,78. Province,79. Peak degradation,80. PAN location,81. Rays,1. Crater name 
McNally Y,19.84,24.08,-128.02,231.98,9.9,9920,17.06,19.02,12.51,6.05,,2.57,1.772,6.34,236.54,0.78,5.68,,0.22,2.57,6.25,0.07,0.21,126.92,15.87,4.7,1.98,1.02,15.68,90.21,98.89,40.43,23.62,19.65,41.47,20.5,23.14,27.41,25.06,,49.06,,0,1.9,0,2.78,11.96,4.1,9.3,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McNally Y
Mechnikov,58.83,-10.47,-148.99,211.01,29.4,29415,50.59,47.93,34.55,30.34,,3.56,2.709,15.98,2913.07,1.2,14.08,,0,12.67,67.56,0.15,0.44,283.71,35.46,10.51,4.43,2.27,117.92,440.76,481.64,403.46,70.48,56.76,139.23,76.5,89.71,112.13,79.53,,122.17,,5.34,4.79,8.67,9.17,419.27,142.1,325.9,Nectarian,2,Older than Hertzsprung Basin ,GHM 1 PC,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Mechnikov
Mechnikov C,34.99,-9.37,-148.06,211.94,17.5,17495,30.09,30.82,21.26,15.86,,3.04,2.105,10.27,877.18,0.97,9.12,,0.66,6.49,21.65,0.1,0.31,193.15,24.14,7.15,3.02,1.55,49.76,228.59,250.18,148.73,41.79,34.18,78.03,40.77,46.94,57.18,45.79,,78.98,,3.43,3.08,4.14,5.18,76.57,25.9,59.5,Nectarian,2,Older than Hertzsprung Basin ,PC,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Mechnikov C
Mechnikov D,54.64,-9.74,-147.19,212.81,27.3,27320,46.99,45.01,32.25,27.67,,3.48,2.411,15,2455.99,1.16,13.24,,0,11.58,57.46,0.14,0.42,268.61,33.58,9.95,4.2,2.15,105.38,405.59,443.31,353.68,65.43,52.81,128.22,69.95,81.82,101.89,73.52,,114.82,,5.02,4.5,7.9,8.45,329.22,111.6,255.9,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Mechnikov D
Mechnikov F,28.43,-10.78,-145.08,214.92,14.2,14215,24.45,25.83,17.51,12.24,,2.86,1.977,8.61,543,0.9,7.67,,0.44,4.79,13.74,0.09,0.27,165.64,20.7,6.13,2.59,1.33,33.51,167.16,183.07,94.9,33.91,27.91,61.92,31.7,36.24,43.69,36.72,,66.35,,2.88,2.58,2.83,4.12,38.81,13.2,30.2,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Mechnikov F
Mechnikov G,16.66,-11.26,-146.7,213.3,8.3,8330,13.83,16.4,10.63,4.44,,2.43,2.665,5.47,0,0.62,4.42,,0,0,0,0.06,0.19,111.53,13.94,4.13,1.74,0.89,10.47,64.56,70.82,25.8,19.81,16.57,34.13,16.59,18.61,21.86,20.81,,42.37,,0,1.64,0,2.29,6.75,2.3,5.2,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Mechnikov G
Mechnikov U,29.75,-10.17,-150.91,209.09,14.9,14875,25.59,26.85,18.27,12.95,,2.9,2.004,8.95,603.02,0.91,7.96,,0.48,5.14,15.18,0.09,0.28,171.3,21.41,6.34,2.68,1.37,36.63,179.47,196.52,104.97,35.5,29.18,65.13,33.49,38.34,46.34,38.54,,68.93,,2.99,2.68,3.09,4.33,45.03,15.3,35,Nectarian,2,,PC,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Mechnikov U
Mechnikov Z,19.53,-8.84,-149.17,210.83,9.8,9765,16.8,18.77,12.33,5.88,,2.55,1.763,6.26,228.09,0.77,5.6,,0.21,2.49,6.04,0.07,0.21,125.45,15.68,4.65,1.96,1,15.13,87.61,96.05,38.86,23.24,19.35,40.75,20.12,22.69,26.86,24.64,,48.41,,0,1.88,0,2.73,11.36,3.8,8.8,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Mechnikov Z
Mee,134.11,-43.63,-35.19,324.81,67.1,67055,115.33,96.55,74.63,0,,4.56,2.942,32.18,19543.95,1.67,28.05,,0,32.16,410.57,0,0,522.02,65.25,19.33,8.16,4.18,344.02,927.08,1010.57,1458.26,161.47,126.87,348.74,207.59,250.61,326.22,190.87,,243.97,,12.83,9.66,21.52,22.67,6217.24,2107,4832.9,pre-Nectarian,1,,GHM 2,,,VL1645  W1926,1935,,,,,,,,,,,,,,,,,,,,,,,,Mee
Mee A,13.3,-44.49,-29.27,330.73,6.7,6650,11.04,11.17,0,2.99,,2.68,2.156,3.72,0,0.5,3.52,,0,0,0,0.06,0.16,266,33.25,9.85,4.16,2.13,16.95,40.57,44.53,13.98,15.79,13.3,26.56,16.98,19.85,24.7,12.88,,35.07,,0,1.12,0,1.4,1.54,0.5,1.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee A
Mee B,14.99,-44.58,-31.17,328.83,7.5,7495,12.44,12.59,0,3.69,,3.02,2.412,4.2,0,0.56,3.97,,0,0,0,0.06,0.18,299.8,37.48,11.1,4.68,2.4,23.57,52.17,57.24,19.45,17.81,14.95,30.34,19.8,23.28,29.21,14.96,,38.77,,0,1.26,0,1.63,2.44,0.8,1.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee B
Mee C,12.85,-45.28,-28.72,331.28,6.4,6425,10.67,10.79,0,2.81,,2.58,2.087,3.6,84.87,0.48,3.4,,0,0,0,0.05,0.16,257,32.13,9.52,4.02,2.06,15.38,37.67,41.35,12.69,15.26,12.86,25.56,16.24,18.96,23.54,12.34,,34.07,,0,1.08,0,1.33,1.35,0.5,1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee C
Mee D,8.62,-45.4,-33.02,326.98,4.3,4310,7.15,7.24,0,1.39,,1.73,1.433,2.41,25.62,0.32,2.27,,0,0,0,0.04,0.12,172.4,21.55,6.39,2.69,1.38,4.71,14.99,16.48,3.89,10.21,8.71,16.38,9.72,11.13,13.46,7.49,,24.37,,0,0.72,0,0.8,0.29,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee D
Mee E,15.71,-43.15,-35.41,324.59,7.9,7855,13.04,15.6,10.06,4.01,,2.39,2.521,5.2,0,0.59,4.16,,0,0,0,0.06,0.18,106.79,13.35,3.96,1.67,0.85,9.09,57.41,62.98,22.07,18.67,15.65,31.97,15.45,17.3,20.26,19.56,,40.33,,0,1.56,0,2.15,5.57,1.9,4.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee E
Mee F,11.85,-43.37,-36.83,323.17,5.9,5925,9.84,9.95,0,2.43,,2.38,1.934,3.32,66.56,0.44,3.13,,0,0,0,0.05,0.15,237,29.63,8.78,3.7,1.9,12.21,31.52,34.61,10.07,14.06,11.88,23.35,14.64,17.02,21.02,11.15,,31.83,,0,1,0,1.2,0.99,0.3,0.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee F
Mee G,22.09,-45.48,-40.73,319.27,11,11045,19,20.84,13.83,8.93,,2.65,1.831,6.95,303.16,0.81,6.21,,0.27,3.15,7.91,0.08,0.23,137.43,17.18,5.09,2.15,1.1,19.87,109.55,120.06,52.69,26.31,21.82,46.74,23.35,26.46,31.51,28.09,,53.69,,0,2.08,0,3.12,17,5.8,13.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee G
Mee H,48.05,-44.21,-39.62,320.38,24,24025,41.32,40.35,28.6,23.57,,3.35,2.319,13.45,1825.11,1.11,11.89,,1.23,9.87,43.37,0.13,0.39,244.24,30.53,9.05,3.82,1.95,85.98,348.28,380.81,279.11,57.5,46.59,111.12,59.87,69.71,86.26,64.14,,103.08,,4.5,4.04,6.66,7.34,216.18,73.3,168,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee H
Mee J,10.04,-44.49,-40.7,319.3,5,5020,8.33,8.43,0,1.82,,2.01,1.654,2.81,40.48,0.37,2.65,,0,0,0,0.05,0.14,200.8,25.1,7.44,3.14,1.61,7.5,21.59,23.72,6.18,11.9,10.11,19.41,11.83,13.64,16.67,9.06,,27.7,,0,0.84,0,0.97,0.52,0.2,0.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee J
Mee K,8.99,-44.45,-41.62,318.38,4.5,4495,7.46,7.55,0,1.5,,1.8,1.491,2.52,29.06,0.33,2.37,,0,0,0,0.04,0.13,179.8,22.48,6.66,2.81,1.44,5.36,16.6,18.25,4.42,10.65,9.07,17.16,10.26,11.78,14.28,7.9,,25.24,,0,0.76,0,0.84,0.34,0.1,0.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee K
Mee L,8.01,-44,-41.55,318.45,4,4005,6.65,6.73,0,1.22,,1.6,1.338,2.24,20.56,0.3,2.11,,0,0,0,0.04,0.12,160.2,20.03,5.93,2.5,1.28,3.75,12.51,13.76,3.09,9.48,8.11,15.09,8.85,10.1,12.15,6.83,,22.91,,0,0.67,0,0.72,0.22,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee L
Mee M,7.81,-45.91,-29.25,330.75,3.9,3905,6.48,6.56,0,1.17,,1.56,1.306,2.19,19.06,0.29,2.05,,0,0,0,0.04,0.12,156.2,19.53,5.79,2.44,1.25,3.46,11.75,12.92,2.85,9.24,7.91,14.67,8.56,9.76,11.72,6.62,,22.43,,0,0.66,0,0.7,0.2,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee M
Mee N,6.21,-45.26,-42.26,317.74,3.1,3105,5.15,5.22,0,0.78,,1.24,1.053,1.74,9.58,0.23,1.63,,0,0,0,0.03,0.1,124.2,15.53,4.6,1.94,0.99,1.65,6.52,7.18,1.36,7.34,6.32,11.37,6.38,7.19,8.51,4.97,,18.5,,0,0.52,0,0.52,0.08,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee N
Mee P,12.88,-45.97,-30.05,329.95,6.4,6440,10.69,10.82,0,2.82,,2.59,2.092,3.61,85.47,0.48,3.4,,0,0,0,0.05,0.16,257.6,32.2,9.54,4.03,2.06,15.48,37.86,41.56,12.77,15.29,12.89,25.62,16.29,19.02,23.62,12.38,,34.14,,0,1.08,0,1.34,1.36,0.5,1.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee P
Mee Q,1.2,-43.61,-33.81,326.19,0.6,600,1,1.01,0,0.04,,0.24,0.149,0.34,0.07,0.04,0.31,,0,0,0,0.01,0.03,24,3,0.89,0.38,0.19,0,0.05,0.06,0,0,1.27,1.82,0.77,0.8,0.85,0.64,,4.66,,0,0.1,0,0.06,0,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,rays,Mee Q
Mee R,9.5,-44.08,-43.44,316.56,4.8,4750,7.89,7.98,0,1.65,,1.9,1.571,2.66,34.3,0.35,2.5,,0,0,0,0.04,0.13,190,23.75,7.04,2.97,1.52,6.35,18.95,20.82,5.23,11.26,9.58,18.25,11.02,12.67,15.42,8.46,,26.44,,0,0.8,0,0.9,0.42,0.1,0.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee R
Mee S,11.93,-43.27,-41.08,318.92,6,5965,9.9,10.02,0,2.46,,2.4,1.946,3.34,67.92,0.44,3.15,,0,0,0,0.05,0.15,238.6,29.83,8.84,3.73,1.91,12.45,32,35.13,10.27,14.16,11.96,23.53,14.76,17.17,21.22,11.24,,32.01,,0,1,0,1.21,1.01,0.3,0.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee S
Mee T,9.09,-42.56,-38.31,321.69,4.5,4545,7.54,7.64,0,1.52,,1.82,1.507,2.55,30.04,0.34,2.39,,0,0,0,0.04,0.13,181.8,22.73,6.73,2.84,1.45,5.55,17.05,18.74,4.58,10.77,9.17,17.38,10.41,11.95,14.5,8,,25.48,,0,0.76,0,0.85,0.36,0.1,0.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee T
Mee U,8.47,-42.96,-34.02,325.98,4.2,4235,7.03,7.11,0,1.35,,1.7,1.41,2.37,24.31,0.31,2.23,,0,0,0,0.04,0.12,169.4,21.18,6.27,2.65,1.36,4.46,14.36,15.79,3.68,10.03,8.56,16.06,9.51,10.88,13.13,7.33,,24.01,,0,0.71,0,0.78,0.27,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee U
Mee V,7.39,-45.53,-42.56,317.44,3.7,3695,6.13,6.21,0,1.06,,1.48,1.24,2.07,16.14,0.27,1.94,,0,0,0,0.04,0.11,147.8,18.48,5.47,2.31,1.18,2.9,10.22,11.24,2.39,8.74,7.49,13.8,7.98,9.07,10.85,6.18,,21.41,,0,0.62,0,0.65,0.16,0.1,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee V
Mee W,5.45,-43.64,-35.69,324.31,2.7,2725,4.52,4.58,0,0.62,,1.09,0.931,1.53,6.48,0.2,1.43,,0,0,0,0.03,0.09,109,13.63,4.04,1.7,0.87,1.07,4.6,5.07,0.88,6.44,5.57,9.83,5.39,6.04,7.08,4.22,,16.58,,0,0.46,0,0.44,0.05,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee W
Mee X,7.6,-41.55,-36.04,323.96,3.8,3800,6.31,6.38,0,1.11,,1.52,1.273,2.13,17.56,0.28,2,,0,0,0,0.04,0.11,152,19,5.63,2.38,1.22,3.17,10.97,12.07,2.62,8.99,7.7,14.23,8.27,9.41,11.29,6.4,,21.92,,0,0.64,0,0.68,0.18,0.1,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee X
Mee Y,6.4,-44.46,-36.93,323.07,3.2,3200,5.31,5.38,0,0.82,,1.28,1.083,1.79,10.49,0.24,1.68,,0,0,0,0.03,0.1,128,16,4.74,2,1.02,1.82,7.06,7.77,1.5,7.57,6.51,11.75,6.63,7.49,8.87,5.16,,18.98,,0,0.54,0,0.54,0.09,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee Y
Mee Z,12.76,-44.7,-42.6,317.4,6.4,6380,10.59,10.72,0,2.77,,2.57,2.073,3.57,83.1,0.48,3.37,,0,0,0,0.05,0.16,255.2,31.9,9.45,3.99,2.04,15.08,37.1,40.72,12.44,15.15,12.77,25.36,16.1,18.78,23.31,12.23,,33.87,,0,1.07,0,1.32,1.31,0.4,1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Mee Z
Mees,51.55,13.57,-96.18,263.82,25.8,25775,44.33,42.84,30.54,25.73,,3.42,2.369,14.28,2146.97,1.14,12.61,,0,10.78,50.59,0.13,0.4,257.29,32.16,9.53,4.02,2.06,96.22,379.02,414.34,318.1,61.71,49.9,120.17,65.19,76.09,94.49,69.11,,109.34,,4.77,4.28,7.32,7.93,272.11,92.2,211.5,,,,,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Mees
Mees A,34.32,15.64,-95.31,264.69,17.2,17160,29.52,30.31,20.88,15.48,,3.03,2.093,10.1,838.86,0.97,8.97,,0.64,6.32,20.75,0.1,0.31,190.4,23.8,7.05,2.98,1.52,48.02,222.31,243.32,142.82,40.98,33.55,76.37,39.82,45.82,55.77,44.86,,77.71,,3.38,3.03,4.01,5.07,71.87,24.4,55.9,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Mees A
Mees J,24.35,12.29,-94.86,265.14,12.2,12175,20.94,22.64,15.15,10.08,,2.73,1.886,7.55,379.66,0.84,6.74,,0.32,3.74,9.79,0.08,0.25,147.7,18.46,5.47,2.31,1.18,24.45,129.69,142.09,66.5,29.02,24,52.1,26.28,29.87,35.75,31.15,,58.26,,0,2.26,0,3.48,23.38,7.9,18.2,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Mees J
Mees Y,77.28,15.73,-96.74,263.26,38.6,38640,66.46,60.43,44.59,42.66,,3.86,2.784,20.14,5470.31,1.34,17.69,,0,17.45,122.77,0.18,0.53,347.16,43.4,12.86,5.42,2.78,174.05,583.77,637.4,639.27,92.74,74.08,188.69,106.46,126.05,159.68,106.27,,153.6,,6.73,6.04,11.97,12.37,1023.72,346.9,795.8,pre-Nectarian,1,,W&B09,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Mees Y
Meggers,51.16,24.3,122.94,122.94,25.6,25580,44,42.56,30.32,25.49,,3.41,2.363,14.19,2109.63,1.13,12.53,,0,10.68,49.75,0.13,0.4,255.84,31.98,9.48,4,2.05,95.07,375.62,410.64,313.69,61.24,49.53,119.16,64.59,75.37,93.56,68.56,,108.65,,4.74,4.26,7.25,7.86,265.43,90,206.3,,,,,,,IAU1970,1970,,,,,,,,,,,,,,,8.12,0.22,5.67,,,,,,,Meggers
Meggers S,38.92,23.95,119.77,119.77,19.5,19460,33.47,33.73,23.49,18.11,,3.14,2.175,11.24,1121.7,1.02,9.97,,0.81,7.51,27.34,0.11,0.34,208.97,26.12,7.74,3.27,1.67,60.23,265.26,290.22,185.09,46.51,37.93,87.86,46.38,53.6,65.64,51.27,,86.37,,3.76,3.37,4.92,5.82,108.47,36.8,84.3,Nectarian,2,,PC,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Meggers S
Meitner,87.27,-10.87,113.1,113.1,43.6,43635,75.05,67.01,49.95,49.66,,4.01,2.818,22.34,7243.94,1.4,19.58,,0,20.03,160.23,0.19,0.57,379.84,47.48,14.07,5.94,3.04,204.53,653.71,713.5,775.37,104.8,83.41,216.06,123.35,146.68,186.93,120.92,,170.1,,7.47,6.7,13.71,14.14,1523.92,516.5,1184.6,Nectarian,2,,GHM 2 PC,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Meitner
Meitner A,16.4,-8.39,113.8,113.8,8.2,8200,13.61,16.18,10.47,4.32,,2.42,2.625,5.39,0,0.61,4.35,,0,0,0,0.06,0.19,110.24,13.78,4.08,1.72,0.88,10.08,62.58,68.65,24.75,19.5,16.32,33.54,16.28,18.25,21.42,20.47,,41.81,,0,1.62,0,2.25,6.41,2.2,5,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Meitner A
Meitner C,20.25,-9.92,114.09,114.09,10.1,10125,17.42,19.36,12.75,8.01,,2.58,1.783,6.45,247.98,0.78,5.77,,0.22,2.67,6.54,0.07,0.22,128.86,16.11,4.77,2.01,1.03,16.41,93.67,102.68,42.55,24.11,20.05,42.42,21.02,23.74,28.15,25.61,,49.91,,0,1.94,0,2.84,12.79,4.3,9.9,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Meitner C
Meitner H,13.64,-12.02,116.09,116.09,6.8,6820,11.32,11.46,0,3.12,,2.74,2.207,3.82,0,0.51,3.61,,0,0,0,0.06,0.17,272.8,34.1,10.1,4.26,2.18,18.19,42.82,46.99,15,16.2,13.63,27.31,17.54,20.53,25.59,13.29,,35.82,,0,1.15,0,1.44,1.7,0.6,1.3,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Meitner H
Meitner J,13.93,-12.26,115.57,115.57,7,6965,11.56,11.7,0,3.24,,2.8,2.252,3.9,0,0.52,3.69,,0,0,0,0.06,0.17,278.6,34.83,10.32,4.35,2.23,19.28,44.77,49.13,15.91,16.55,13.91,27.96,18.02,21.11,26.36,13.65,,36.46,,0,1.17,0,1.48,1.84,0.6,1.4,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Meitner J
Meitner R,14.99,-12.2,109.82,109.82,7.5,7495,12.44,12.59,0,3.69,,3.02,2.412,4.2,0,0.56,3.97,,0,0,0,0.06,0.18,299.8,37.48,11.1,4.68,2.4,23.57,52.17,57.24,19.45,17.81,14.95,30.34,19.8,23.28,29.21,14.96,,38.77,,0,1.26,0,1.63,2.44,0.8,1.9,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Meitner R
Melissa,17.21,8.12,121.78,121.78,8.6,8605,14.28,16.86,10.95,4.7,,2.46,2.747,5.62,0,0.73,5.04,,0.16,1.89,4.58,0.07,0.2,114.25,14.28,4.23,1.79,0.91,11.3,68.82,75.49,28.09,20.47,17.1,35.39,17.26,19.38,22.8,21.54,,43.54,,0,1.69,0,2.37,7.51,2.5,5.8,,,Formerly Ibn Firnas Y,,,,IAU1979,1979,,,,,,,,,,,,,,,,,,,,,,,,Melissa
Mendel,139.65,-48.83,-109.86,250.14,69.8,69825,120.1,99.93,77.51,0,,4.62,2.954,33.31,21459.6,1.69,29.01,,0,33.6,0,0,0,537.89,67.24,19.92,8.4,4.3,360.01,954.71,1040.56,1542.2,168.18,131.98,364.83,218.02,263.58,343.79,199.26,,252.4,,13.42,9.99,22.41,23.7,7097.86,2405.5,5517.4,Nectarian,2,Partly covered by Orientale ejecta; possibly pre-Nectarian ,GHM 2 PC,,,BML1960 IAU1961,1970,,,,,,,,,,,,,,,,,,,,,,,,Mendel
Mendel B,17,-46.52,-107.66,252.34,8.5,8500,14.11,16.68,10.83,4.6,,2.45,2.716,5.56,0,0.73,4.99,,0.16,1.83,4.46,0.06,0.19,113.21,14.15,4.19,1.77,0.91,10.98,67.19,73.69,27.21,20.22,16.9,34.91,17,19.09,22.44,21.27,,43.09,,0,1.67,0,2.34,7.21,2.4,5.6,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Mendel B
Mendel J,57.59,-51.51,-107.2,252.8,28.8,28795,49.53,47.07,33.87,29.55,,3.54,2.45,15.69,2773.18,1.19,13.83,,0,12.35,64.48,0.14,0.43,279.27,34.91,10.34,4.36,2.23,114.19,430.46,470.41,388.56,68.99,55.6,135.96,74.55,87.36,109.08,77.75,,120,,5.24,4.71,8.44,8.95,391.04,132.5,304,Lower Imbrian,3,,GHM 2,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,1,CP        ,,Mendel J
Mendel V,60.75,-46.55,-116.72,243.28,30.4,30375,52.25,49.25,35.61,31.59,,3.59,2.718,16.42,3137.39,1.21,14.47,,0,13.16,72.48,0.15,0.45,290.53,36.32,10.76,4.54,2.32,123.71,456.54,498.83,426.82,72.8,58.57,144.3,79.54,93.38,116.89,82.29,,125.5,,5.49,4.93,9.02,9.5,465.73,157.8,362,Nectarian,2,"Partly covered by Orientale ejecta; possibly Lower Imbrian, maybe pre-Nectarian ",PC, ,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Mendel V
Mendeleev,325.13,5.38,141.17,141.17,162.6,162565,279.61,204.96,170.75,0,,0,3.214,68.32,0,2.37,58.8,,0,0,0,0,0,1005.28,125.66,37.23,15.71,8.04,840.45,1593.55,1732.45,4485.02,393.54,301.1,935.57,606.89,755.89,1027.88,489.08,,513.06,,31.72,20.5,57.51,59.99,112768.48,38217,87658.8,Nectarian ,2,,GHM 1,,2,IAU1970,1961,,,,,,,,,,,,,,,,,,,,,,,,Mendeleev
Mendeleev P,29.04,2.34,139.81,139.81,14.5,14520,24.97,26.3,17.86,12.56,,2.88,1.989,8.77,570.29,0.9,7.81,,0.46,4.95,14.39,0.09,0.28,168.26,21.03,6.23,2.63,1.35,34.94,172.84,189.28,99.5,34.64,28.5,63.4,32.53,37.21,44.91,37.56,,67.54,,2.93,2.63,2.95,4.22,41.6,14.1,32.3,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Mendeleev P
Mendel-Rydberg,630,-50,-94,266,315,315000,541.8,359.63,316.85,0,,0,3.434,119.88,0,0,0,,0,0,0,0,0,1640.13,205.02,60.75,25.63,13.12,1493.34,2177.52,2362.63,9464.68,0,574.25,1955.26,1352.49,1724.26,2422.49,987.69,,893.96,,58.68,35.96,118.82,124.1,982478.36,332959.8,763713.7,Nectarian ,2,,GHM 1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Mendel-Rydberg
Menelaus,27.13,16.26,15.93,15.93,13.6,13565,23.33,24.82,16.76,11.54,3.02,2.82,1.949,8.27,487.36,0.88,7.37,,0.4,4.46,12.4,0.09,0.26,160,20,5.93,2.5,1.28,30.52,155.11,169.89,85.39,32.35,26.67,58.77,29.95,34.18,41.12,34.94,,63.8,,0,2.48,0,3.92,33.3,11.3,25.9,,,,,,,VL1645  R1651,1935,,,,,,,,,,,,,,,,,,,,,,NE and E walls     ,rays,Menelaus
Menelaus A,6.18,17.07,13.39,13.39,3.1,3090,5.13,5.19,0,0.77,1,1.23,1.048,1.73,9.44,0.23,1.62,0.02,0,0,0,0.03,0.1,123.6,15.45,4.58,1.93,0.99,1.63,6.44,7.08,1.34,7.3,6.29,11.3,6.34,7.14,8.45,4.94,,18.43,,0,0.52,0,0.52,0.08,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Menelaus A
Menelaus C,4.02,14.81,14.48,14.48,2,2010,3.34,3.38,0,0.36,0.69,0.8,0.699,1.13,2.6,0.15,1.05,,0,0,0,0.02,0.07,80.4,10.05,2.98,1.26,0.64,0.38,1.98,2.18,0.31,4.74,4.14,7,3.65,4.03,4.63,2.89,,12.85,,0,0.34,0,0.3,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Menelaus C
